epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,641.333,0.98216,1.52999,1.06392,0.892,0.88862,0.93959,0.68693,0.93021,1.50788,1.0101,0.000660606,0.000660606,0.000660606
2,1216.7,0.98885,1.06918,1.07345,0.89366,0.87904,0.92848,0.61094,1.15567,1.31755,1.15198,0.00106447,0.00106447,0.00106447
3,1787.81,0.96942,0.93618,1.06925,0.87337,0.8425,0.91882,0.65699,0.93333,1.05137,1.01121,0.00120434,0.00120434,0.00120434
4,2352.76,0.89117,0.80316,1.0326,0.934,0.93054,0.97713,0.78257,0.71297,0.69318,0.89878,0.000812,0.000812,0.000812
5,2918.92,0.79866,0.69819,0.98417,0.92917,0.95835,0.98471,0.80932,0.65245,0.57137,0.87788,0.000416,0.000416,0.000416
